CustomerID,Seg,Recency,Frequency,Monetary
15749,At risk,235,3,21535.9
12409,At risk,79,3,11056.93
16180,At risk,100,8,10217.48
12590,At risk,211,2,9861.380000000001
12435,At risk,80,2,7829.89
13093,At risk,276,8,7741.47
16745,At risk,87,17,7170.7
12980,At risk,158,9,7092.06
13027,At risk,114,6,6912.0
16182,At risk,72,4,6617.65
15939,At risk,90,15,6102.26
14101,At risk,74,6,5976.79
16553,At risk,163,12,5664.57
17850,At risk,372,34,5288.63
17061,At risk,74,11,5116.13
15032,At risk,256,3,4464.1
16984,At risk,88,2,4392.42
14016,At risk,162,4,4328.46
18251,At risk,87,1,4314.72
13505,At risk,73,4,4282.88
13555,At risk,74,4,4149.28
13802,At risk,139,3,3906.27
13124,At risk,90,3,3866.33
18073,At risk,114,12,3864.4400000000005
18087,At risk,98,2,3770.1199999999994
15808,At risk,306,4,3724.7700000000004
12502,At risk,96,5,3723.87
14364,At risk,109,8,3717.35
17819,At risk,72,7,3661.0699999999997
15379,At risk,169,7,3631.89
13082,At risk,126,9,3595.48
13334,At risk,82,3,3536.82
17230,At risk,264,8,3466.67
15410,At risk,84,8,3450.84
15581,At risk,121,13,3429.9700000000003
12643,At risk,128,6,3344.64
17723,At risk,127,6,3276.4
13952,At risk,218,2,3246.091
15764,At risk,88,6,3245.47
17050,At risk,96,6,3228.84
13869,At risk,123,4,3104.95
14235,At risk,75,5,3093.86
15491,At risk,95,6,3090.8500000000004
14565,At risk,96,4,3073.77
16709,At risk,85,5,3029.87
13631,At risk,100,11,3021.77
18094,At risk,82,7,3017.3
14307,At risk,89,6,2995.72
12916,At risk,139,4,2982.35
12754,At risk,236,3,2949.12
17444,At risk,148,3,2940.04
15673,At risk,88,4,2881.02
13901,At risk,72,5,2867.2000000000003
12758,At risk,117,2,2791.59
16928,At risk,80,17,2781.5
14854,At risk,78,7,2749.89
17504,At risk,206,9,2745.28
12840,At risk,144,4,2714.27
13851,At risk,96,3,2651.46
12625,At risk,212,2,2614.32
16919,At risk,156,11,2596.45
18260,At risk,173,6,2595.0000000000005
12520,At risk,79,5,2582.51
15245,At risk,134,3,2515.84
12455,At risk,73,6,2466.86
14163,At risk,87,4,2445.91
15980,At risk,89,3,2398.86
13141,At risk,85,5,2385.8
17722,At risk,96,4,2380.64
14930,At risk,109,3,2372.86
13722,At risk,132,3,2369.16
13908,At risk,80,4,2347.05
15704,At risk,140,4,2293.62
16735,At risk,79,5,2269.21
16550,At risk,109,5,2266.25
16209,At risk,89,5,2262.6200000000003
15235,At risk,218,12,2247.51
15665,At risk,168,2,2242.01
18242,At risk,72,4,2232.4900000000002
17591,At risk,73,7,2215.0200000000004
12653,At risk,149,2,2209.85
15797,At risk,113,4,2207.4
12755,At risk,281,2,2203.2
16456,At risk,99,5,2158.37
14828,At risk,197,3,2139.76
17400,At risk,126,5,2129.96
14407,At risk,107,6,2111.08
18173,At risk,87,4,2106.84
14461,At risk,148,3,2103.06
18093,At risk,93,4,2083.42
18231,At risk,192,5,2066.17
16281,At risk,72,1,2062.06
17597,At risk,214,1,2044.3700000000001
17846,At risk,85,1,2033.1
16098,At risk,88,7,2005.63
16754,At risk,372,1,2002.4
16698,At risk,227,2,1998.0
13593,At risk,108,5,1990.2800000000002
12585,At risk,234,2,1982.81
17337,At risk,151,4,1944.32
14472,At risk,104,8,1936.84
14978,At risk,72,5,1931.42
17406,At risk,333,3,1928.72
14210,At risk,106,6,1900.89
14934,At risk,82,2,1888.8400000000001
15641,At risk,105,4,1887.2
12853,At risk,135,6,1881.7
17787,At risk,153,4,1865.19
12383,At risk,185,5,1839.31
16152,At risk,269,1,1829.04
15812,At risk,107,5,1801.14
13562,At risk,82,3,1799.33
12348,At risk,75,4,1797.24
18235,At risk,72,3,1796.48
15260,At risk,100,7,1780.77
16681,At risk,73,6,1770.34
17873,At risk,80,5,1764.3600000000001
12424,At risk,163,2,1760.96
12823,At risk,75,5,1759.5
15067,At risk,78,3,1744.76
15674,At risk,73,5,1744.02
13134,At risk,86,4,1740.6299999999999
17353,At risk,129,2,1740.0
17457,At risk,127,5,1737.6999999999998
15947,At risk,83,1,1708.24
16902,At risk,116,1,1706.88
17282,At risk,130,3,1703.41
12635,At risk,90,2,1689.18
14245,At risk,220,2,1677.48
17656,At risk,73,5,1674.69
15332,At risk,366,4,1661.06
14045,At risk,109,4,1659.75
15549,At risk,77,3,1655.76
13162,At risk,122,4,1644.99
15002,At risk,116,4,1641.76
15827,At risk,73,14,1641.48
14837,At risk,90,4,1641.2
16398,At risk,154,2,1631.1499999999999
12377,At risk,315,2,1628.12
13425,At risk,108,3,1624.21
15122,At risk,114,3,1612.1299999999999
14918,At risk,116,2,1610.15
12669,At risk,151,3,1607.7299999999998
12868,At risk,186,6,1607.0600000000002
14573,At risk,180,9,1603.72
16889,At risk,195,3,1578.67
18178,At risk,129,4,1573.4099999999999
13814,At risk,92,2,1562.12
18239,At risk,219,5,1561.61
17085,At risk,123,5,1555.0500000000002
14038,At risk,78,3,1554.48
13659,At risk,206,2,1550.8500000000001
14442,At risk,205,2,1544.62
13397,At risk,73,5,1539.18
16244,At risk,212,2,1522.75
17997,At risk,74,8,1511.3000000000002
15265,At risk,151,2,1506.12
15625,At risk,104,4,1504.56
17152,At risk,195,3,1503.5
13320,At risk,78,4,1491.7
15057,At risk,275,2,1489.5
17002,At risk,86,3,1487.78
17553,At risk,130,1,1487.6
14414,At risk,92,7,1485.13
16755,At risk,114,3,1484.6299999999999
14758,At risk,145,4,1484.06
14246,At risk,111,3,1474.06
14875,At risk,108,2,1448.7200000000003
13475,At risk,191,4,1431.78
14403,At risk,130,4,1426.31
14740,At risk,197,3,1423.21
16503,At risk,107,4,1421.43
12947,At risk,144,6,1407.29
17083,At risk,109,3,1405.78
18202,At risk,200,3,1396.99
13414,At risk,134,3,1390.5
17311,At risk,78,2,1384.85
15569,At risk,104,5,1375.71
15095,At risk,104,4,1364.6999999999998
17204,At risk,175,4,1352.9099999999999
14154,At risk,239,2,1345.62
15596,At risk,101,5,1343.34
16317,At risk,120,3,1341.65
16045,At risk,120,4,1340.7
15734,At risk,115,2,1339.45
16493,At risk,80,4,1329.66
16370,At risk,82,4,1320.56
16083,At risk,101,2,1317.62
14973,At risk,107,3,1314.45
15146,At risk,165,2,1313.66
12516,At risk,78,2,1312.06
17919,At risk,88,1,1304.04
15813,At risk,208,2,1303.91
15108,At risk,142,4,1291.75
12854,At risk,79,3,1289.15
14267,At risk,163,3,1279.09
16692,At risk,256,2,1276.0
14669,At risk,242,3,1269.99
13492,At risk,136,3,1269.84
16951,At risk,135,3,1262.75
16842,At risk,101,3,1260.44
17388,At risk,78,4,1259.5600000000002
