InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
556690,23005,printing smudges/thrown away,-9600,2011-06-14 10:37:00,0.0,,United Kingdom
556691,23005,printing smudges/thrown away,-9600,2011-06-14 10:37:00,0.0,,United Kingdom
556687,23003,Printing smudges/thrown away,-9058,2011-06-14 10:36:00,0.0,,United Kingdom
546152,72140F,throw away,-5368,2011-03-09 17:25:00,0.0,,United Kingdom
573596,79323W,"Unsaleable, destroyed.",-4830,2011-10-31 15:17:00,0.0,,United Kingdom
566768,16045,,-3667,2011-09-14 17:53:00,0.0,,United Kingdom
565304,16259,,-3167,2011-09-02 12:18:00,0.0,,United Kingdom
560039,20713,wrongly marked. 23343 in box,-3100,2011-07-14 14:27:00,0.0,,United Kingdom
545990,84598,check,-3000,2011-03-08 13:07:00,0.0,,United Kingdom
569466,23270,incorrect stock entry.,-2880,2011-10-04 11:42:00,0.0,,United Kingdom
560600,18007,,-2834,2011-07-19 17:04:00,0.0,,United Kingdom
573593,79323LP,"Unsaleable, destroyed.",-2618,2011-10-31 15:16:00,0.0,,United Kingdom
540564,22617,"mouldy, thrown away.",-2600,2011-01-10 10:36:00,0.0,,United Kingdom
547560,72732,thrown away-can't sell,-2472,2011-03-23 17:28:00,0.0,,United Kingdom
552733,23059,Thrown away-rusty,-2376,2011-05-11 10:48:00,0.0,,United Kingdom
573594,79323P,"Unsaleable, destroyed.",-2003,2011-10-31 15:16:00,0.0,,United Kingdom
565310,21829,?missing,-1897,2011-09-02 12:26:00,0.0,,United Kingdom
558379,22618,"mouldy, unsaleable.",-1681,2011-06-28 16:34:00,0.0,,United Kingdom
573591,79323B,"Unsaleable, destroyed.",-1671,2011-10-31 15:15:00,0.0,,United Kingdom
574816,85036C,damages wax,-1560,2011-11-07 10:37:00,0.0,,United Kingdom
551837,79164,damages/credits from ASOS.,-1512,2011-05-04 13:23:00,0.0,,United Kingdom
576764,16008,check,-1510,2011-11-16 13:10:00,0.0,,United Kingdom
549527,21620,mystery! Only ever imported 1800,-1479,2011-04-08 16:03:00,0.0,,United Kingdom
557108,23113,Damaged,-1440,2011-06-16 15:58:00,0.0,,United Kingdom
557596,23114,Damaged,-1440,2011-06-21 11:33:00,0.0,,United Kingdom
557597,23115,Damaged,-1440,2011-06-21 11:33:00,0.0,,United Kingdom
557599,23116,Damaged,-1440,2011-06-21 11:34:00,0.0,,United Kingdom
557600,23117,Damaged,-1440,2011-06-21 11:35:00,0.0,,United Kingdom
569464,23268,Incorrect stock entry.,-1440,2011-10-04 11:40:00,0.0,,United Kingdom
569465,23269,incorrect stock entry.,-1440,2011-10-04 11:41:00,0.0,,United Kingdom
543257,84611B,thrown away,-1430,2011-02-04 16:06:00,0.0,,United Kingdom
541685,22351,Given away,-1400,2011-01-20 15:41:00,0.0,,United Kingdom
554551,47566B,reverse previous adjustment,-1300,2011-05-25 09:58:00,0.0,,United Kingdom
554553,47566B,incorrectly credited C550456 see 47,-1300,2011-05-25 09:59:00,0.0,,United Kingdom
574822,85036B,damages wax,-1284,2011-11-07 10:38:00,0.0,,United Kingdom
546130,35610A,thrown away,-1277,2011-03-09 15:08:00,0.0,,United Kingdom
556242,21700,sold as set on dotcom and amazon,-1206,2011-06-09 16:06:00,0.0,,United Kingdom
546024,85175,? sold as sets?,-1200,2011-03-08 17:31:00,0.0,,United Kingdom
573592,79323GR,"Unsaleable, destroyed.",-1158,2011-10-31 15:16:00,0.0,,United Kingdom
579742,85204,lost??,-1131,2011-11-30 14:34:00,0.0,,United Kingdom
573598,79342B,"Unsaleable, destroyed.",-1128,2011-10-31 15:18:00,0.0,,United Kingdom
546124,35610C,Thrown away.,-1121,2011-03-09 14:50:00,0.0,,United Kingdom
546142,40016,damaged stock,-1100,2011-03-09 16:37:00,0.0,,United Kingdom
550133,85099F,,-1092,2011-04-14 13:49:00,0.0,,United Kingdom
561927,22740,?,-1060,2011-08-01 12:49:00,0.0,,United Kingdom
581212,22578,lost,-1050,2011-12-07 18:38:00,0.0,,United Kingdom
573115,23343,wrongly coded 20713,-1000,2011-10-27 15:37:00,0.0,,United Kingdom
540638,72038P,damages,-990,2011-01-10 12:14:00,0.0,,United Kingdom
546023,85175,wrongly sold sets,-975,2011-03-08 17:29:00,0.0,,United Kingdom
565296,84929,code mix up? 84930,-967,2011-09-02 12:04:00,0.0,,United Kingdom
540241,35957,,-939,2011-01-05 15:17:00,0.0,,United Kingdom
573597,79341,"Unsaleable, destroyed.",-905,2011-10-31 15:18:00,0.0,,United Kingdom
580382,16045,check,-900,2011-12-02 17:59:00,0.0,,United Kingdom
576368,21135,wet rusty,-864,2011-11-14 18:33:00,0.0,,United Kingdom
572701,85078,missing,-840,2011-10-25 14:31:00,0.0,,United Kingdom
569831,20713,wrongly coded-23343,-800,2011-10-06 12:38:00,0.0,,United Kingdom
553391,37370,sold as set/6 by dotcom,-786,2011-05-16 16:42:00,0.0,,United Kingdom
567629,40016,?,-752,2011-09-21 13:21:00,0.0,,United Kingdom
549531,21622,POSSIBLE DAMAGES OR LOST?,-750,2011-04-08 17:05:00,0.0,,United Kingdom
544410,84997C,?,-741,2011-02-18 13:54:00,0.0,,United Kingdom
538090,20956,?,-723,2010-12-09 14:48:00,0.0,,United Kingdom
578328,72807B,wet pallet,-696,2011-11-23 17:55:00,0.0,,United Kingdom
548381,22127,sold in set?,-690,2011-03-30 16:45:00,0.0,,United Kingdom
566121,23306,,-682,2011-09-09 10:56:00,0.0,,United Kingdom
546016,85172,Dotcom set,-675,2011-03-08 17:21:00,0.0,,United Kingdom
573595,79323S,"Unsaleable, destroyed.",-674,2011-10-31 15:17:00,0.0,,United Kingdom
554144,79030D,damages,-664,2011-05-23 10:42:00,0.0,,United Kingdom
573590,79323G,"Unsaleable, destroyed.",-657,2011-10-31 15:15:00,0.0,,United Kingdom
566712,22030,??,-635,2011-09-14 12:04:00,0.0,,United Kingdom
