InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
537197,22841,ROUND CAKE TIN VINTAGE GREEN,1,2010-12-05 14:02:00,0.0,12647,Germany
541109,22168,ORGANISER WOOD ANTIQUE WHITE ,1,2011-01-13 15:10:00,0.0,15107,United Kingdom
550188,22636,CHILDS BREAKFAST SET CIRCUS PARADE,1,2011-04-14 18:57:00,0.0,12457,Switzerland
561284,22167, OVAL WALL MIRROR DIAMANTE ,1,2011-07-26 12:24:00,0.0,16818,United Kingdom
561916,M,Manual,1,2011-08-01 11:44:00,0.0,15581,United Kingdom
568158,PADS,PADS TO MATCH ALL CUSHIONS,1,2011-09-25 12:22:00,0.0,16133,United Kingdom
568384,M,Manual,1,2011-09-27 09:46:00,0.0,12748,United Kingdom
571035,M,Manual,1,2011-10-13 12:50:00,0.0,12446,RSA
574252,M,Manual,1,2011-11-03 13:24:00,0.0,12437,France
574920,22899,CHILDREN'S APRON DOLLY GIRL ,1,2011-11-07 16:34:00,0.0,13985,United Kingdom
574920,23480,MINI LIGHTS WOODLAND MUSHROOMS,1,2011-11-07 16:34:00,0.0,13985,United Kingdom
577168,M,Manual,1,2011-11-18 10:42:00,0.0,12603,Germany
577696,M,Manual,1,2011-11-21 11:57:00,0.0,16406,United Kingdom
548871,22162,HEART GARLAND RUSTIC PADDED,2,2011-04-04 14:42:00,0.0,14410,United Kingdom
569716,22778,GLASS CLOCHE SMALL,2,2011-10-06 08:17:00,0.0,15804,United Kingdom
574879,22625,RED KITCHEN SCALES,2,2011-11-07 13:22:00,0.0,13014,United Kingdom
577314,23407,SET OF 2 TRAYS HOME SWEET HOME,2,2011-11-18 13:23:00,0.0,12444,Norway
539263,22580,ADVENT CALENDAR GINGHAM SACK,4,2010-12-16 14:36:00,0.0,16560,United Kingdom
553000,47566,PARTY BUNTING,4,2011-05-12 15:21:00,0.0,17667,United Kingdom
577129,22464,HANGING METAL HEART LANTERN,4,2011-11-17 19:52:00,0.0,15602,United Kingdom
548318,22055,MINI CAKE STAND  HANGING STRAWBERY,5,2011-03-30 12:45:00,0.0,13113,United Kingdom
572893,21208,PASTEL COLOUR HONEYCOMB FAN,5,2011-10-26 14:36:00,0.0,18059,United Kingdom
539722,22423,REGENCY CAKESTAND 3 TIER,10,2010-12-21 13:45:00,0.0,14911,EIRE
561669,22960,JAM MAKING SET WITH JARS,11,2011-07-28 17:09:00,0.0,12507,Spain
574175,22065,CHRISTMAS PUDDING TRINKET POT ,12,2011-11-03 11:47:00,0.0,14110,United Kingdom
574469,22385,JUMBO BAG SPACEBOY DESIGN,12,2011-11-04 11:55:00,0.0,12431,Australia
543599,84535B,FAIRY CAKES NOTEBOOK A6 SIZE,16,2011-02-10 13:08:00,0.0,17560,United Kingdom
575579,22437,SET OF 9 BLACK SKULL BALLOONS,20,2011-11-10 11:49:00,0.0,13081,United Kingdom
540372,22090,PAPER BUNTING RETROSPOT,24,2011-01-06 16:41:00,0.0,13081,United Kingdom
540372,22553,PLASTERS IN TIN SKULLS,24,2011-01-06 16:41:00,0.0,13081,United Kingdom
575579,22089,PAPER BUNTING VINTAGE PAISLEY,24,2011-11-10 11:49:00,0.0,13081,United Kingdom
547417,22062,CERAMIC BOWL WITH LOVE HEART DESIGN,36,2011-03-23 10:25:00,0.0,13239,United Kingdom
554037,22619,SET OF 6 SOLDIER SKITTLES,80,2011-05-20 14:13:00,0.0,12415,Australia
564651,23270,SET OF 2 CERAMIC PAINTED HEARTS ,96,2011-08-26 14:19:00,0.0,14646,Netherlands
564651,22955,36 FOIL STAR CAKE CASES ,144,2011-08-26 14:19:00,0.0,14646,Netherlands
564651,21786,POLKADOT RAIN HAT ,144,2011-08-26 14:19:00,0.0,14646,Netherlands
564651,23268,SET OF 2 CERAMIC CHRISTMAS REINDEER,192,2011-08-26 14:19:00,0.0,14646,Netherlands
574138,23234,BISCUIT TIN VINTAGE CHRISTMAS,216,2011-11-03 11:26:00,0.0,12415,Australia
562973,23157,SET OF 6 NATIVITY MAGNETS ,240,2011-08-11 11:42:00,0.0,14911,EIRE
578841,84826,ASSTD DESIGN 3D PAPER STICKERS,12540,2011-11-25 15:57:00,0.0,13256,United Kingdom
