CustomerID,Recency,Frequency,Monetary,R,F,M,Seg
12346,326,1,0.0,1,1,1,Normal
12347,2,7,4310.0,5,5,5,Champion
12348,75,4,1797.24,2,4,4,At risk
12349,19,1,1757.55,4,1,4,New customer
12350,310,1,334.4,1,1,2,Normal
12352,36,8,1545.4099999999999,3,5,4,Loyal
12353,204,1,89.0,1,1,1,Normal
12354,232,1,1079.4,1,1,4,Lost high value
12355,214,1,459.4,1,1,2,Normal
12356,23,3,2811.43,4,3,5,Loyal
12357,33,1,6207.67,4,1,5,New customer
12358,2,2,1168.06,5,2,4,New customer
12359,58,4,6245.53,3,4,5,Loyal
12360,52,3,2662.06,3,3,5,Loyal
12361,287,1,189.9,1,1,1,Normal
12362,3,10,5154.58,5,5,5,Champion
12363,110,2,552.0,2,2,3,Normal
12364,8,4,1313.1,5,4,4,Champion
12365,291,2,320.69,1,2,2,Normal
12367,4,1,168.89999999999998,5,1,1,New customer
12370,51,4,3545.69,3,4,5,Loyal
12371,45,2,1887.96,3,2,4,Normal
12372,72,3,1298.04,3,3,4,Loyal
12373,311,1,364.6,1,1,2,Normal
12374,25,1,742.9300000000001,4,1,3,New customer
12375,11,2,455.42,5,2,2,New customer
12377,315,2,1628.12,1,2,4,At risk
12378,130,1,4008.62,2,1,5,Lost high value
12379,82,2,850.29,2,2,3,Normal
12380,22,4,2720.56,4,4,5,Champion
12381,5,5,1803.96,5,4,4,Champion
12383,185,5,1839.31,1,4,4,At risk
12384,29,2,566.16,4,2,3,New customer
12386,338,2,401.9,1,2,2,Normal
12388,16,6,2780.66,4,4,5,Champion
12390,80,1,549.84,2,1,3,Normal
12391,22,1,460.89,4,1,2,New customer
12393,72,4,1582.6000000000001,3,4,4,Loyal
12394,64,2,1272.48,3,2,4,Normal
12395,19,12,2998.28,4,5,5,Champion
12397,36,2,2409.9,3,2,5,Normal
12398,46,1,1635.6599999999999,3,1,4,Normal
12399,119,4,1108.65,2,4,4,At risk
12401,303,1,84.3,1,1,1,Normal
12402,323,1,225.60000000000002,1,1,1,Normal
12403,50,1,409.7,3,1,2,Normal
12405,149,1,1710.39,2,1,4,Lost high value
12406,22,2,3280.75,4,2,5,New customer
12407,50,5,1708.12,3,4,4,Loyal
12408,33,5,2842.57,4,4,5,Champion
12409,79,3,11056.93,2,3,5,At risk
12410,309,2,681.0799999999999,1,2,3,Normal
12412,75,3,1226.88,2,3,4,At risk
12413,67,3,694.15,3,3,3,Loyal
12414,217,3,562.41,1,3,3,Normal
12415,24,21,123725.45,4,5,5,Champion
12417,3,9,3578.7999999999997,5,5,5,Champion
12418,113,1,668.58,2,1,3,Normal
12420,64,1,600.39,3,1,3,Normal
12421,16,4,806.27,4,4,3,Loyal
12422,96,3,803.56,2,3,3,Normal
12423,1,8,1849.11,5,5,4,Champion
12424,163,2,1760.96,2,2,4,At risk
12425,78,1,777.2,2,1,3,Normal
12426,195,1,582.73,1,1,3,Normal
12427,22,3,708.37,4,3,3,Loyal
12428,26,9,7877.2,4,5,5,Champion
12429,9,4,3750.4,5,4,5,Champion
12430,43,1,256.4,3,1,2,Normal
12431,36,15,6416.389999999999,3,5,5,Loyal
12432,43,5,5059.32,3,4,5,Loyal
12433,1,7,13375.87,5,5,5,Champion
12434,85,2,765.1899999999999,2,2,3,Normal
12435,80,2,7829.89,2,2,5,At risk
12436,100,1,509.01,2,1,3,Normal
12437,2,18,4896.66,5,5,5,Champion
12438,14,2,2906.85,4,2,5,New customer
12441,367,1,173.55,1,1,1,Normal
12442,3,1,172.06,5,1,1,New customer
12444,21,5,5005.46,4,4,5,Champion
12445,22,1,133.4,4,1,1,New customer
12446,58,1,1002.3100000000001,3,1,4,Normal
12447,243,1,476.49,1,1,3,Normal
12448,44,1,449.45,3,1,2,Normal
12449,22,4,4067.29,4,4,5,Champion
12450,156,2,197.88,2,2,1,Normal
12451,11,5,8933.52,5,4,5,Champion
12452,17,2,428.57,4,2,2,New customer
12453,134,1,707.09,2,1,3,Normal
12454,56,1,0.0,3,1,1,Normal
12455,73,6,2466.86,2,4,5,At risk
12456,44,3,3153.89,3,3,5,Loyal
12457,66,7,1917.78,3,5,4,Loyal
12458,71,2,947.4,3,2,4,Normal
12461,94,2,826.88,2,2,3,Normal
12462,19,2,1124.01,4,2,4,New customer
12463,53,4,1303.6299999999999,3,4,4,Loyal
12464,10,8,1212.05,5,5,4,Champion
12465,17,2,733.8900000000001,4,2,3,New customer
12468,188,2,724.04,1,2,3,Normal
12471,2,30,18740.92,5,5,5,Champion
12472,32,7,6229.48,4,5,5,Champion
12473,29,5,2848.23,4,4,5,Champion
12474,17,18,7116.47,4,5,5,Champion
12475,54,1,723.38,3,1,3,Normal
12476,16,11,6546.58,4,5,5,Champion
12477,23,6,13117.01,4,4,5,Champion
12478,4,1,680.99,5,1,3,New customer
12479,11,1,477.30000000000007,5,1,3,New customer
12480,28,4,3281.63,4,4,5,Champion
12481,23,10,5590.86,4,5,5,Champion
12483,17,8,2327.13,4,5,5,Champion
12484,33,6,4495.27,4,4,5,Champion
12488,10,3,1298.66,5,3,4,Loyal
12489,336,1,334.93,1,1,2,Normal
12490,5,10,5417.93,5,5,5,Champion
12491,39,1,460.40000000000003,3,1,2,Normal
12492,63,2,263.21000000000004,3,2,2,Normal
12493,166,2,416.79,2,2,2,Normal
12494,16,7,1139.3500000000001,4,5,4,Champion
12497,82,1,1043.1,2,1,4,Lost high value
12498,21,3,403.70000000000005,4,3,2,Loyal
12500,23,11,4206.2699999999995,4,5,5,Champion
12501,337,1,2089.68,1,1,5,Lost high value
12502,96,5,3723.87,2,4,5,At risk
12504,18,2,114.0,4,2,1,New customer
12506,233,1,73.5,1,1,1,Normal
12507,134,3,1258.06,2,3,4,At risk
12508,26,2,398.27,4,2,2,New customer
12509,284,1,176.5,1,1,1,Normal
12510,143,2,982.5699999999999,2,2,4,At risk
12512,66,2,138.03,3,2,1,Normal
12513,113,1,586.79,2,1,3,Normal
12514,267,1,1017.68,1,1,4,Lost high value
12515,353,1,383.7,1,1,2,Normal
12516,78,2,1312.06,2,2,4,At risk
12517,28,5,2464.8900000000003,4,4,5,Champion
12518,1,5,2056.89,5,4,5,Champion
12519,64,1,340.84,3,1,2,Normal
12520,79,5,2582.51,2,4,5,At risk
12521,143,1,599.68,2,1,3,Normal
12522,39,2,192.72,3,2,1,Normal
12523,19,11,1745.57,4,5,4,Champion
12524,9,8,4485.72,5,5,5,Champion
12526,1,3,1316.66,5,3,4,Loyal
12527,82,3,348.71000000000004,2,3,2,Normal
12528,9,6,1922.28,5,5,4,Champion
12530,60,4,1623.6299999999999,3,4,4,Loyal
12531,15,1,125.22,4,1,1,New customer
12532,30,1,349.83000000000004,4,1,2,New customer
12534,131,1,1089.18,2,1,4,Lost high value
12535,92,2,716.35,2,2,3,Normal
12536,43,3,4106.8200000000015,3,3,5,Loyal
12538,29,1,363.95,4,1,2,New customer
12539,22,4,3852.5000000000005,4,4,5,Champion
12540,20,17,13309.039999999999,4,5,5,Champion
12541,30,3,981.1800000000001,4,3,4,Loyal
12544,36,1,355.7,3,1,2,Normal
12545,75,2,1000.39,2,2,4,At risk
12546,47,2,1141.5,3,2,4,Normal
12547,198,2,207.79999999999998,1,2,1,Normal
12548,166,1,95.19999999999999,2,1,1,Normal
12550,79,1,964.8299999999999,2,1,4,Lost high value
12551,358,1,168.0,1,1,1,Normal
12552,39,2,437.82,3,2,2,Normal
12553,8,10,3652.25,5,5,5,Champion
12556,50,2,603.71,3,2,3,Normal
12557,16,5,11990.960000000001,4,4,5,Champion
12558,8,1,5.684341886080802e-14,5,1,1,New customer
12559,311,2,536.21,1,2,3,Normal
12560,5,3,2101.3900000000003,5,3,5,Loyal
12561,303,1,238.85,1,1,1,Normal
12562,8,7,3781.7400000000002,5,5,5,Champion
12564,261,1,456.9,1,1,2,Normal
12565,289,1,131.17,1,1,1,Normal
12566,86,1,346.7,2,1,2,Normal
12567,23,10,9114.94,4,5,5,Champion
12569,2,32,4064.99,5,5,5,Champion
12571,40,2,519.61,3,2,3,Normal
12572,9,2,1004.7199999999999,5,2,4,New customer
12573,227,1,160.54,1,1,1,Normal
12574,316,1,218.45,1,1,1,Normal
12576,36,5,1306.98,3,4,4,Loyal
12577,35,3,595.4,3,3,3,Loyal
12578,21,2,2753.36,4,2,5,New customer
12579,78,1,410.72,2,1,2,Normal
12580,247,1,415.7,1,1,2,Normal
12581,40,1,197.71,3,1,1,Normal
12582,239,2,511.36,1,2,3,Normal
12583,3,15,7187.34,5,5,5,Champion
12584,4,9,1893.95,5,5,4,Champion
12585,234,2,1982.81,1,2,4,At risk
12586,17,1,179.94000000000003,4,1,1,New customer
12587,8,1,144.0,5,1,1,New customer
12588,39,1,214.89999999999998,3,1,1,Normal
12589,29,2,646.68,4,2,3,New customer
12590,211,2,9861.380000000001,1,2,5,At risk
12591,317,1,452.85,1,1,2,Normal
12592,92,2,437.6,2,2,2,Normal
12593,109,3,418.09999999999997,2,3,2,Normal
12594,38,10,3320.2200000000003,3,5,5,Loyal
12596,51,2,618.27,3,2,3,Normal
12597,19,4,3683.1299999999997,4,4,5,Champion
12598,10,8,3002.68,5,5,5,Champion
12599,29,7,1032.58,4,5,4,Champion
12600,29,10,2581.04,4,5,5,Champion
12601,190,5,569.5600000000001,1,4,3,Normal
12602,59,1,153.12,3,1,1,Normal
12603,22,1,739.1999999999999,4,1,3,New customer
12604,79,2,254.18,2,2,2,Normal
12607,60,1,0.0,3,1,1,Normal
12609,78,3,1126.85,2,3,4,At risk
12610,23,5,2057.99,4,4,5,Champion
12611,52,1,1193.32,3,1,4,Normal
12612,74,1,643.59,2,1,3,Normal
12613,57,5,3218.98,3,4,5,Loyal
12614,278,1,315.6,1,1,2,Normal
12615,2,4,2291.19,5,4,5,Champion
12616,95,2,657.25,2,2,3,Normal
12617,29,1,355.53,4,1,2,New customer
12618,22,1,177.31,4,1,1,New customer
12619,16,9,3214.81,4,5,5,Champion
12620,15,3,1339.41,4,3,4,Loyal
12621,2,20,13612.07,5,5,5,Champion
12622,232,1,180.1,1,1,1,Normal
12623,276,1,305.1,1,1,2,Normal
12624,106,2,641.13,2,2,3,Normal
12625,212,2,2614.32,1,2,5,At risk
12626,23,9,6388.349999999999,4,5,5,Champion
12627,11,7,4478.53,5,5,5,Champion
12628,4,3,769.61,5,3,3,Loyal
12630,10,2,1270.88,5,2,4,New customer
12631,57,1,640.5,3,1,3,Normal
12633,59,4,2140.63,3,4,5,Loyal
12635,90,2,1689.18,2,2,4,At risk
12637,67,8,5953.25,3,5,5,Loyal
12638,33,1,671.69,4,1,3,New customer
12639,239,1,486.1,1,1,3,Normal
12640,24,3,1174.58,4,3,4,Loyal
12641,115,1,185.9,2,1,1,Normal
12642,25,3,1013.26,4,3,4,Loyal
12643,128,6,3344.64,2,5,5,At risk
12644,130,1,477.91,2,1,3,Normal
12645,34,4,1755.38,3,4,4,Loyal
12646,5,2,1346.97,5,2,4,New customer
12647,22,12,3669.92,4,5,5,Champion
12648,155,1,318.05,2,1,2,Normal
12649,107,3,603.71,2,3,3,Normal
12650,3,1,314.44000000000005,5,1,2,New customer
12651,335,1,114.0,1,1,1,Normal
12652,331,1,914.53,1,1,3,Normal
12653,149,2,2209.85,2,2,5,At risk
12654,11,5,601.98,5,4,3,Loyal
12656,17,5,3982.7200000000003,4,4,5,Champion
12657,11,4,1152.06,5,4,4,Champion
12658,19,1,686.05,4,1,3,New customer
12659,30,1,91.68,4,1,1,New customer
12660,11,1,245.10000000000002,5,1,2,New customer
12662,1,11,3817.0800000000004,5,5,5,Champion
12664,8,9,4863.88,5,5,5,Champion
12665,325,1,61.75,1,1,1,Normal
12667,58,1,620.13,3,1,3,Normal
12668,12,4,3743.1800000000003,5,4,5,Champion
12669,151,3,1607.7299999999998,2,3,4,At risk
12670,10,5,2986.1499999999996,5,4,5,Champion
12672,330,1,225.9,1,1,1,Normal
12673,5,2,610.52,5,2,3,New customer
12674,39,4,1919.31,3,4,4,Loyal
12676,25,6,1331.39,4,5,4,Champion
12678,42,12,17588.26,3,5,5,Loyal
12679,59,4,1058.67,3,4,4,Loyal
12680,1,4,862.81,5,4,3,Loyal
12681,15,22,13677.59,4,5,5,Champion
12682,4,31,12288.22,5,5,5,Champion
12683,4,15,8221.09,5,5,5,Champion
12684,8,7,2283.63,5,5,5,Champion
12685,28,6,2863.08,4,5,5,Champion
12686,372,1,89.14,1,1,1,Normal
