InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536545,21134,,1,2010-12-01 14:32:00,0.0,,United Kingdom
536546,22145,,1,2010-12-01 14:33:00,0.0,,United Kingdom
536547,37509,,1,2010-12-01 14:33:00,0.0,,United Kingdom
536549,85226A,,1,2010-12-01 14:34:00,0.0,,United Kingdom
536550,85044,,1,2010-12-01 14:34:00,0.0,,United Kingdom
536552,20950,,1,2010-12-01 14:34:00,0.0,,United Kingdom
537439,37474,,1,2010-12-06 17:01:00,0.0,,United Kingdom
537534,85064,CREAM SWEETHEART LETTER RACK,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,84832,ZINC WILLIE WINKIE  CANDLE STICK,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,48111,DOORMAT 3 SMILEY CATS,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22697,GREEN REGENCY TEACUP AND SAUCER,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22682,FRENCH BLUE METAL DOOR SIGN 7,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22680,FRENCH BLUE METAL DOOR SIGN 5,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22625,RED KITCHEN SCALES,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22619,SET OF 6 SOLDIER SKITTLES,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22520,CHILDS GARDEN TROWEL BLUE ,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22476,EMPIRE UNION JACK TV DINNER TRAY,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22473,TV DINNER TRAY VINTAGE PAISLEY,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22474,SPACEBOY TV DINNER TRAY,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22472,TV DINNER TRAY DOLLY GIRL,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22520,CHILDS GARDEN TROWEL BLUE ,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22514,CHILDS GARDEN SPADE BLUE,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22516,CHILDS GARDEN RAKE BLUE,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22432,WATERING CAN PINK BUNNY,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22427,ENAMEL FLOWER JUG CREAM,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22376,AIRLINE BAG VINTAGE JET SET WHITE,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22375,AIRLINE BAG VINTAGE JET SET BROWN,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22620,4 TRADITIONAL SPINNING TOPS,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22624,IVORY KITCHEN SCALES,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22109,FULL ENGLISH BREAKFAST PLATE,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22367,CHILDRENS APRON SPACEBOY DESIGN,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22366,DOORMAT AIRMAIL ,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22364,GLASS JAR DIGESTIVE BISCUITS,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22360,GLASS JAR ENGLISH CONFECTIONERY,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22359,GLASS JAR KINGS CHOICE,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22353,LUNCH BOX WITH CUTLERY FAIRY CAKES ,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22350,ILLUSTRATED CAT BOWL ,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22327,ROUND SNACK BOXES SET OF 4 SKULLS,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,21116,OWL DOORSTOP,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,22550,HOLIDAY FUN LUDO,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,21912,VINTAGE SNAKES & LADDERS,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,21891,TRADITIONAL WOODEN SKIPPING ROPE,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,20726,LUNCH BAG WOODLAND,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,20652,BLUE POLKADOT LUGGAGE TAG ,1,2010-12-07 11:48:00,0.0,,United Kingdom
537534,20615,BLUE POLKADOT PASSPORT COVER,1,2010-12-07 11:48:00,0.0,,United Kingdom
537640,21232,STRAWBERRY CERAMIC TRINKET BOX,1,2010-12-07 15:31:00,0.0,,United Kingdom
537872,21595,,1,2010-12-08 18:07:00,0.0,,United Kingdom
537873,37461,,1,2010-12-08 18:07:00,0.0,,United Kingdom
537874,85170A,,1,2010-12-08 18:07:00,0.0,,United Kingdom
537875,20849,,1,2010-12-08 18:08:00,0.0,,United Kingdom
537877,21661,,1,2010-12-08 18:08:00,0.0,,United Kingdom
537878,72803B,,1,2010-12-08 18:09:00,0.0,,United Kingdom
538071,22585,PACK OF 6 BIRDY GIFT TAGS,1,2010-12-09 14:09:00,0.0,,United Kingdom
538142,84247C,,1,2010-12-09 15:58:00,0.0,,United Kingdom
538143,84534B,,1,2010-12-09 15:58:00,0.0,,United Kingdom
538144,90042B,,1,2010-12-09 15:58:00,0.0,,United Kingdom
538360,35004P,,1,2010-12-10 16:29:00,0.0,,United Kingdom
538877,21479,WHITE SKULL HOT WATER BOTTLE ,1,2010-12-14 15:29:00,0.0,,United Kingdom
538877,22112,CHOCOLATE HOT WATER BOTTLE,1,2010-12-14 15:29:00,0.0,,United Kingdom
538877,22356,CHARLOTTE BAG PINK POLKADOT,1,2010-12-14 15:29:00,0.0,,United Kingdom
539583,35400,,1,2010-12-20 12:53:00,0.0,,United Kingdom
539584,21491,,1,2010-12-20 12:54:00,0.0,,United Kingdom
539585,21009,,1,2010-12-20 12:54:00,0.0,,United Kingdom
539638,22139,,1,2010-12-20 15:23:00,0.0,,United Kingdom
539750,22114,HOT WATER BOTTLE TEA AND SYMPATHY,1,2010-12-21 15:40:00,0.0,,United Kingdom
539750,22652,TRAVEL SEWING KIT,1,2010-12-21 15:40:00,0.0,,United Kingdom
539750,21481,FAWN BLUE HOT WATER BOTTLE,1,2010-12-21 15:40:00,0.0,,United Kingdom
539856,22444,GROW YOUR OWN PLANT IN A CAN ,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,84968E,SET OF 16 VINTAGE BLACK CUTLERY,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22518,CHILDS GARDEN BRUSH BLUE,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,79321,CHILLI LIGHTS,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,37333,"RETRO ""TEA FOR ONE"" ",1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22843,BISCUIT TIN VINTAGE GREEN,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22842,BISCUIT TIN VINTAGE RED,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,85099B,JUMBO BAG RED RETROSPOT,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22684,FRENCH BLUE METAL DOOR SIGN 9,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22681,FRENCH BLUE METAL DOOR SIGN 6,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22680,FRENCH BLUE METAL DOOR SIGN 5,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22650,CERAMIC PIRATE CHEST MONEY BANK,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22647,CERAMIC LOVE HEART MONEY BANK,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22619,SET OF 6 SOLDIER SKITTLES,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22526,WHEELBARROW FOR CHILDREN ,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22524,CHILDRENS GARDEN GLOVES BLUE,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22518,CHILDS GARDEN BRUSH BLUE,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22514,CHILDS GARDEN SPADE BLUE,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22512,DOORSTOP RACING CAR DESIGN,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22431,WATERING CAN BLUE ELEPHANT,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22360,GLASS JAR ENGLISH CONFECTIONERY,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22350,ILLUSTRATED CAT BOWL ,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22327,ROUND SNACK BOXES SET OF 4 SKULLS,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22072,RED RETROSPOT TEA CUP AND SAUCER ,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,21912,VINTAGE SNAKES & LADDERS,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,21791,VINTAGE HEADS AND TAILS CARD GAME ,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,22550,HOLIDAY FUN LUDO,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,21116,OWL DOORSTOP,1,2010-12-22 14:41:00,0.0,,United Kingdom
539856,20719,WOODLAND CHARLOTTE BAG,1,2010-12-22 14:41:00,0.0,,United Kingdom
540355,20724,RED RETROSPOT CHARLOTTE BAG,1,2011-01-06 15:11:00,0.0,,United Kingdom
540356,20724,RED RETROSPOT CHARLOTTE BAG,1,2011-01-06 15:12:00,0.0,,United Kingdom
540677,21667,,1,2011-01-10 16:20:00,0.0,,United Kingdom
540693,82605,,1,2011-01-11 09:13:00,0.0,,United Kingdom
540694,71477,,1,2011-01-11 09:13:00,0.0,,United Kingdom
540695,21661,,1,2011-01-11 09:14:00,0.0,,United Kingdom
540696,84562A,,1,2011-01-11 09:14:00,0.0,,United Kingdom
540832,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,1,2011-01-11 14:42:00,0.0,,United Kingdom
540832,84692,BOX OF 24 COCKTAIL PARASOLS,1,2011-01-11 14:42:00,0.0,,United Kingdom
540832,20724,RED RETROSPOT CHARLOTTE BAG,1,2011-01-11 14:42:00,0.0,,United Kingdom
540832,22423,REGENCY CAKESTAND 3 TIER,1,2011-01-11 14:42:00,0.0,,United Kingdom
540982,22323,,1,2011-01-12 15:35:00,0.0,,United Kingdom
542363,84823,,1,2011-01-27 12:50:00,0.0,,United Kingdom
542514,22866,,1,2011-01-28 12:08:00,0.0,,United Kingdom
542515,35607A,,1,2011-01-28 12:08:00,0.0,,United Kingdom
543014,47591B,,1,2011-02-02 13:36:00,0.0,,United Kingdom
543238,22833,,1,2011-02-04 13:42:00,0.0,,United Kingdom
543453,21429,,1,2011-02-08 12:15:00,0.0,,United Kingdom
543472,22451,,1,2011-02-08 15:01:00,0.0,,United Kingdom
543473,21661,,1,2011-02-08 15:01:00,0.0,,United Kingdom
544345,22866,,1,2011-02-18 09:49:00,0.0,,United Kingdom
545160,22666,RECIPE BOX PANTRY YELLOW DESIGN,1,2011-02-28 13:31:00,0.0,,United Kingdom
